Site,Year,PastureID_YearOfSurvey,method,Util,n,stdev,StErr,lower.ci,upper.ci
BIBU,2017,12,LA,2.677966102,59,1.366983565,0.177966102,2.380486373,2.975445831
BIBU,2017,12,WtRemoved,0.040140012,59,0.30832128,0.040140012,-0.026956136,0.107236159
BIBU,2017,13,LA,16.30769231,104,17.26229795,1.692707579,13.49816627,19.11721834
BIBU,2017,13,WtRemoved,5.346866951,104,8.710286609,0.854113873,3.929223886,6.764510017
BIBU,2017,21,LA,2.690909091,55,1.415819711,0.190909091,2.371410336,3.010407846
BIBU,2017,21,WtRemoved,0,55,0,0,0,0
BIBU,2018,12,LA,32.69285714,70,14.50469511,1.733642656,29.80246128,35.58325301
BIBU,2018,12,WtRemoved,7.842127395,70,8.69060989,1.038726557,6.110322437,9.573932353
BIBU,2018,13,LA,3.295454545,66,2.799694039,0.344618514,2.720411696,3.870497395
BIBU,2018,13,WtRemoved,0.46438477,66,1.315392507,0.161913625,0.19420987,0.734559669
BIBU,2018,18,LA,50,1,NA,NA,NA,NA
BIBU,2018,18,WtRemoved,11.10210553,1,NA,NA,NA,NA
BIBU,2018,21,LA,27.86231884,69,12.95974652,1.56017014,25.26062236,30.46401532
BIBU,2018,21,WtRemoved,7.492700301,69,7.572290173,0.911596612,5.972547059,9.012853543
BRBE,2017,15,LA,11.5,20,11.45931017,2.562379651,7.069305271,15.93069473
BRBE,2017,15,WtRemoved,2.243419936,20,4.976513711,1.112782295,0.319271558,4.167568314
BRBE,2017,16,LA,12.02173913,23,8.572522516,1.787494509,8.952352989,15.09112527
BRBE,2017,16,WtRemoved,6.898990845,23,11.580783,2.414760181,2.752498985,11.04548271
BRBE,2017,17,LA,11.93452381,84,8.741184806,0.953741453,10.34805103,13.52099658
BRBE,2017,17,WtRemoved,6.61506912,84,10.33203208,1.127317121,4.739867077,8.490271164
BRBE,2017,26,LA,13.16666667,39,10.29264769,1.648142673,10.38797318,15.94536016
BRBE,2017,26,WtRemoved,5.771950133,39,8.68321077,1.39042651,3.427754358,8.116145909
BRBE,2018,15,LA,27.42857143,21,17.0244572,3.715041132,21.02117222,33.83597064
BRBE,2018,15,WtRemoved,19.69052449,21,15.06550909,3.287563609,14.02040356,25.36064542
BRBE,2018,16,LA,2.5,16,0,0,2.5,2.5
BRBE,2018,16,WtRemoved,0.543196363,16,2.172785453,0.543196363,-0.409054215,1.495446941
BRBE,2018,17,LA,2.5,95,0,0,2.5,2.5
BRBE,2018,17,WtRemoved,0,95,0,0,0,0
BRBE,2018,26,LA,2.5,26,0,0,2.5,2.5
BRBE,2018,26,WtRemoved,0.387063992,26,1.47398517,0.289072275,-0.106712144,0.880840127
JISA,2018,743,LA,2.5,9,0,0,2.5,2.5
JISA,2018,743,WtRemoved,0,9,0,0,0,0
JISA,2018,825,LA,9.0625,8,5.43426628,1.921303269,5.422439933,12.70256007
JISA,2018,825,WtRemoved,5.332697037,8,4.133710258,1.461487277,2.56379451,8.101599565
PAVA,2017,3,LA,20.71428571,7,14.38418444,5.43671069,10.14977671,31.27879472
PAVA,2017,3,WtRemoved,16.9158073,7,18.37844016,6.946397451,3.417704752,30.41390985
PAVA,2017,4,LA,6.318181818,11,5.297512281,1.597260051,3.423210073,9.213153563
PAVA,2017,4,WtRemoved,3.716872703,11,5.513835766,1.662484035,0.703685022,6.730060385
PAVA,2017,5,LA,7.9,25,9.334077351,1.86681547,4.706098865,11.09390113
PAVA,2017,5,WtRemoved,1.700284248,25,3.953734982,0.790746996,0.347409383,3.053159114
PAVA,2017,6,LA,7.75,2,7.424621202,5.25,-25.39719545,40.89719545
PAVA,2017,6,WtRemoved,2.045098376,2,2.89220586,2.045098376,-10.86714459,14.95734135
PAVA,2017,786,LA,14.55,40,14.14023175,2.235766948,10.78301189,18.31698811
PAVA,2017,786,WtRemoved,6.465015861,40,8.343514916,1.319225541,4.242285566,8.687746155
PAVA,2018,3,LA,2.75,42,1.620185175,0.25,2.329280499,3.170719501
PAVA,2018,3,WtRemoved,0,42,0,0,0,0
PAVA,2018,4,LA,2.5,21,0,0,2.5,2.5
PAVA,2018,4,WtRemoved,0.269358183,21,1.234354261,0.269358183,-0.195208789,0.733925154
PAVA,2018,5,LA,15.01515152,33,15.74478329,2.740814968,10.37251588,19.65778715
PAVA,2018,5,WtRemoved,5.655299314,33,8.489747023,1.477875261,3.151943037,8.158655591
PAVA,2018,6,LA,23.3125,16,14.1384523,3.534613074,17.11614529,29.50885471
PAVA,2018,6,WtRemoved,7.66439463,16,8.056326812,2.014081703,4.133607985,11.19518128
PAVA,2018,786,LA,5.936746988,166,6.6524481,0.516330109,5.082664197,6.790829778
PAVA,2018,786,WtRemoved,1.559139627,166,4.361400238,0.338510309,0.999195854,2.1190834
PAVA,2018,788,LA,15.55405405,37,17.88380078,2.940078737,10.59032584,20.51778227
PAVA,2018,788,WtRemoved,6.877726787,37,9.789043118,1.609308775,4.160734461,9.594719114
SHCR,2017,22,LA,3.170731707,41,4.294778452,0.670731707,2.041319442,4.300143972
SHCR,2017,22,WtRemoved,0.50575052,41,2.421402568,0.378159548,-0.131013818,1.142514858
SHCR,2017,24,LA,2.908602151,93,3.041333229,0.315371565,2.384585364,3.432618937
SHCR,2017,24,WtRemoved,0.111545224,93,1.075703182,0.111545224,-0.073796691,0.296887139
SHCR,2017,781,LA,2.95,70,2.141971867,0.256014606,2.523162581,3.376837419
SHCR,2017,781,WtRemoved,1.29452346,70,8.0060043,0.956900539,-0.300858005,2.889904925
SHCR,2018,22,LA,4.409090909,66,4.080826736,0.502315047,3.57090995,5.247271868
SHCR,2018,22,WtRemoved,0.309769851,66,1.438939264,0.177121179,0.014219079,0.605320623
BIBU,2015,162,AvgRemoved,3.96718979,20,5.539888663,1.238756764,1.825214824,6.109164756
BIBU,2015,162,percent_grazed,16.26473414,20,14.79402613,3.30804481,10.54468532,21.98478297
BIBU,2015,171,AvgRemoved,6.845994083,20,10.41060815,2.327882752,2.820775636,10.87121253
BIBU,2015,171,percent_grazed,16.64453416,20,16.47946063,3.684919419,10.27281909,23.01624924
BIBU,2015,776,AvgRemoved,2.350181596,13,3.404679138,0.944288093,0.667188679,4.033174513
BIBU,2015,776,percent_grazed,11.79966087,13,13.81508546,3.831615308,4.970620584,18.62870115
BIBU,2016,775,AvgRemoved,4.971075391,7,8.477945531,3.204362215,-1.255578076,11.19772886
BIBU,2016,775,percent_grazed,16.85121999,7,26.36286189,9.9642252,-2.511065931,36.21350591
BIBU,2016,776,AvgRemoved,0.920625239,9,1.344744705,0.448248235,0.087086113,1.754164364
BIBU,2016,776,percent_grazed,2.914458412,9,4.940530022,1.646843341,-0.14792589,5.976842714
BIBU,2016,777,AvgRemoved,3.263520034,10,3.96898659,1.255103763,0.962773095,5.564266973
BIBU,2016,777,percent_grazed,12.15006625,10,13.66370981,4.32084443,4.229470446,20.07066206
BIBU,2017,13,AvgRemoved,2.580501825,17,2.942965863,0.713774065,1.334335336,3.826668313
BIBU,2017,13,percent_grazed,9.418301986,17,8.026099481,1.946615054,6.019738539,12.81686543
BIBU,2017,18,AvgRemoved,0.342424192,11,0.828473134,0.249794049,-0.11031781,0.795166193
BIBU,2017,18,percent_grazed,1.364919468,11,3.236233625,0.975761152,-0.403609684,3.13344862
BIBU,2018,12,AvgRemoved,4.953314332,19,3.382019408,0.775888464,3.607874383,6.298754281
BIBU,2018,12,percent_grazed,31.44277501,19,11.2916106,2.590473133,26.95072983,35.93482019
BIBU,2018,21,AvgRemoved,6.643623676,20,3.680751178,0.823040984,5.220476504,8.066770847
BIBU,2018,21,percent_grazed,35.22859395,20,14.64138955,3.273914232,29.56756143,40.88962647
BIBU,2018,806,AvgRemoved,1.594594595,1,NA,NA,NA,NA
BIBU,2018,806,percent_grazed,24.32432432,1,NA,NA,NA,NA
BRBE,2015,17,AvgRemoved,1.867527635,21,3.813288667,0.832127808,0.432341624,3.302713645
BRBE,2015,17,percent_grazed,5.913491092,21,8.084868411,1.764262927,2.870634636,8.956347549
BRBE,2015,772,AvgRemoved,0.164958779,18,0.294202147,0.069344111,0.044327297,0.285590261
BRBE,2015,772,percent_grazed,1.770472563,18,3.00802617,0.708998568,0.537093886,3.003851241
BRBE,2016,15,AvgRemoved,6.20370118,10,4.762700792,1.506098232,3.442853034,8.964549327
BRBE,2016,15,percent_grazed,29.08741512,10,19.63543028,6.209268251,17.70512518,40.46970505
BRBE,2016,17,AvgRemoved,3.172685101,10,4.193709614,1.326167423,0.741670448,5.603699754
BRBE,2016,17,percent_grazed,16.20556349,10,14.61948064,4.623085703,7.730925297,24.68020168
BRBE,2016,26,AvgRemoved,0.021010638,5,0.029621738,0.013247244,-0.007230456,0.049251733
BRBE,2016,26,percent_grazed,1.684782609,5,2.720107338,1.216468983,-0.908542883,4.278108101
BRBE,2017,16,AvgRemoved,1.102726575,3,0.881177573,0.508748109,-0.382810568,2.588263717
BRBE,2017,16,percent_grazed,9.22496858,3,8.436694057,4.870927585,-4.998069731,23.44800689
BRBE,2017,17,AvgRemoved,1.728154657,6,2.12631146,0.868063019,-0.021034317,3.47734363
BRBE,2017,17,percent_grazed,11.62973162,6,10.94664313,4.468948343,2.624584531,20.63487871
BRBE,2017,26,AvgRemoved,2.297826296,20,2.000575682,0.447342322,1.524312009,3.071340583
BRBE,2017,26,percent_grazed,36.60596704,20,39.45767204,8.823003691,21.34982186,51.86211222
BRBE,2018,15,AvgRemoved,10.72099775,18,8.970344974,2.114330587,7.042894037,14.39910146
BRBE,2018,15,percent_grazed,52.6725298,18,15.93331239,3.755517745,46.13940587,59.20565373
BRBE,2018,26,AvgRemoved,0.045819869,20,0.12518067,0.027991249,-0.002580718,0.094220455
BRBE,2018,26,percent_grazed,1.447066244,20,3.046462381,0.681209697,0.269164204,2.624968283
JISA,2015,840,AvgRemoved,10.43263397,39,12.76228441,2.043601041,6.987215683,13.87805226
JISA,2015,840,percent_grazed,31.55680587,39,24.66620391,3.949753694,24.89770101,38.21591073
JISA,2015,852,AvgRemoved,0.120304626,17,0.207791498,0.050396841,0.032317604,0.208291648
JISA,2015,852,percent_grazed,1.620198912,17,2.433254179,0.590150823,0.589864223,2.6505336
JISA,2016,825,AvgRemoved,3.669265757,3,1.161442268,0.670559006,1.711243129,5.627288385
JISA,2016,825,percent_grazed,36.05565638,3,3.763905682,2.173091959,29.7102592,42.40105357
JISA,2017,743,AvgRemoved,4.485796388,5,1.71238093,0.765800033,2.853228049,6.118364726
JISA,2017,743,percent_grazed,30.20362354,5,6.193217188,2.769690926,24.29906684,36.10818024
JISA,2018,825,AvgRemoved,3.534324078,8,2.475052878,0.875063337,1.876447801,5.192200354
JISA,2018,825,percent_grazed,16.32080829,8,10.21813759,3.61265719,9.476345273,23.16527131
PAVA,2017,3,AvgRemoved,2.291525253,5,0.598480868,0.267648781,1.72093906,2.862111447
PAVA,2017,3,percent_grazed,14.23338134,5,5.657204792,2.529978895,8.839853965,19.62690872
PAVA,2017,4,AvgRemoved,0.577486088,6,0.569031053,0.232305954,0.109378353,1.045593824
PAVA,2017,4,percent_grazed,4.009654816,6,3.833299018,1.564937771,0.856229506,7.163080126
PAVA,2017,5,AvgRemoved,0.593537339,8,0.861848464,0.304709447,0.01624134,1.170833337
PAVA,2017,5,percent_grazed,2.650182652,8,3.536411283,1.2503102,0.281371699,5.018993606
PAVA,2017,786,AvgRemoved,3.165901437,17,2.298867796,0.557557338,2.192471183,4.139331692
PAVA,2017,786,percent_grazed,29.33886067,17,17.9041785,4.342401122,21.75753344,36.92018791
PAVA,2017,788,AvgRemoved,2.232142857,1,NA,NA,NA,NA
PAVA,2017,788,percent_grazed,17.85714286,1,NA,NA,NA,NA
PAVA,2018,4,AvgRemoved,0.072262938,8,0.0963211,0.034054652,0.007743724,0.136782153
PAVA,2018,4,percent_grazed,1.108198675,8,1.239640697,0.438279171,0.277844334,1.938553017
PAVA,2018,5,AvgRemoved,1.921416711,5,0.990178964,0.442821495,0.977389131,2.865444291
PAVA,2018,5,percent_grazed,5.411772283,5,2.949204854,1.318924507,2.600027311,8.223517254
PAVA,2018,6,AvgRemoved,3.262724014,6,3.84891458,1.571312798,0.096452718,6.428995311
PAVA,2018,6,percent_grazed,11.07825568,6,12.13911568,4.955773226,1.092132897,21.06437845
PAVA,2018,786,AvgRemoved,0.572221073,20,0.958023849,0.214220645,0.201805126,0.942637019
PAVA,2018,786,percent_grazed,3.646540031,20,5.250913097,1.174139863,1.616296269,5.676783793
SHCR,2017,24,AvgRemoved,0.409952396,11,0.603718793,0.182028065,0.080033605,0.739871188
SHCR,2017,24,percent_grazed,1.795125896,11,2.867086767,0.864459186,0.228327229,3.361924563
SHCR,2018,22,AvgRemoved,1.508233674,19,2.578609254,0.591573534,0.482407538,2.534059811
SHCR,2018,22,percent_grazed,4.508051829,19,4.38106951,1.005086277,2.765168295,6.250935363
SHCR,2018,781,AvgRemoved,1.796619137,20,3.252251489,0.727225541,0.539149593,3.054088681
SHCR,2018,781,percent_grazed,5.823699295,20,8.799662381,1.967664326,2.421346346,9.226052244
