PastureID_YearOfSurvey,Point_ID,Year,Site,PercentWtRemovedPlot,ObsID,Date,Lat,Lon,PAST_NAME,Utilization,ShrubOverstory,OthShrubCode,MostAbdPerGrass,OthGrassCode,CheatgrassCover,Subsample,EmployeeYear,Position,Original_Site_Assignment,Start_Date,End_Date,Performance_Rating
781,U_SHCR933,2017,SHCR,NA,72,7/25/2017,42.11641736,-115.734386,(North) Tokum-Bambi East,2.5,ARTRW8,NA,PSSP6,NA,30,0,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
840,2397,2015,JISA,NA,94,7/21/2015,42.155791,-113.395903,Sheep Mountain,2.5,ARAR8, ,POSE, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
4,U_PAVA581,2017,PAVA,1.284019314,72,8/8/2017,44.34033034,-113.6009062,Goldburg SW - Donkey Creek,13,ARTRW8,NA,PSSP6,NA,0,1,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
17,13,2015,BRBE,NA,94,7/28/2015,41.995054,-114.789716,China Creek BLM #1,2.5,ARAR8, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
795,1884,2015,SHCR,NA,94,7/29/2015,42.106028,-115.697498,Slaughterhouse,30,ARTRW, ,ELEL5, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
795,616,2015,SHCR,NA,94,7/29/2015,42.053109,-115.696037,Slaughterhouse,2.5,ARTRW, ,FEID, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
15,UBRBE2285,2016,BRBE,NA,94,7/29/2016,42.06819176,-114.7735488,Corral Creek East,2.5,ARTRW8,NA,STIPA,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
13,U_BIBU4281,2018,BIBU,0,97,7/24/2018,43.33487274,-113.1350417,Serviceberry,2.5,ARTR4,NA,POSE,NA,20,1,2018,Crew Leader,BIBU,2/20/2018,8/25/2018,Excellent
776,3050,2015,BIBU,NA,94,7/22/2015,43.33885,-113.113996,Serviceberry,2.5,ARTR2, ,STIPA, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
795,1403,2015,SHCR,NA,94,7/30/2015,42.085563,-115.68489,Slaughterhouse,30,ARTRW, ,POSE, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
17,24,2015,BRBE,NA,94,7/28/2015,41.99669,-114.795978,China Creek BLM #1,2.5,ARAR8, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
843,754,2015,SHCR,NA,94,7/27/2015,42.059128,-115.823135,East Blackleg,13,ARTRW, ,ELEL5, ,20,0,Currently Employed,NA,All Sites,NA,NA,NA
788,U_PAVA1084,2018,PAVA,6.531347487,111,8/10/2018,44.2847753,-113.6726374,West River Flat,13,ARAR8,NA,POSE,NA,0,1,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
786,U_PAVA1409,2018,PAVA,NA,95,8/8/2018,44.33000096,-113.7064388,River,13,ARAR8,NA,POSE,NA,0,0,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
14,U_BRBE3174,2018,BRBE,0,95,7/25/2018,42.07647638,-114.8026298,Browns Creek East,2.5,ARNO4,NA,PSSP6,NA,80,1,2018,Crew Leader,BRBE,2/20/2018,8/25/2018,Excellent
795,1568,2015,SHCR,NA,94,7/29/2015,42.091689,-115.697071,Slaughterhouse,30,ARTRW, ,PSSP6, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
17,UBRBE3271,2016,BRBE,NA,94,8/3/2016,42.0098465,-114.7553722,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
2,U_PAVA3859,2017,PAVA,NA,69,8/2/2017,44.34587742,-113.6385301,River East,13,ARTRW8,NA,POSE,NA,0,0,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
777,ubibu0390,2016,BIBU,0,94,7/20/2016,43.3355836,-113.102475,Sunset,2.5,ARTRW8,NA,STIPA,NA,40,1,Currently Employed,NA,All Sites,NA,NA,NA
17,U_BRBE3033,2018,BRBE,0,109,7/30/2018,42.04603028,-114.7537626,China Creek BLM #1,2.5,ARTRW8,NA,STIPA,NA,50,1,2018,Research Technician,SHCR,4/9/2018,8/25/2018,Excellent
823,U_SHCR3109,2018,SHCR,NA,109,8/6/2018,42.05550707,-115.8293812,East Blackleg North,2.5,ARNO4,NA,STIPA,NA,20,0,2018,Research Technician,SHCR,4/9/2018,8/25/2018,Excellent
162,3179,2015,BIBU,NA,94,7/24/2015,43.42675,-113.075713,Frenchman,50,ARTR2, ,PSSP6, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
776,2736,2015,BIBU,NA,94,7/29/2015,43.305858,-113.139076,Serviceberry,2.5,ARTR2, ,PSSP6, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
17,UBRBE3073,2016,BRBE,0,94,8/3/2016,42.0296738,-114.7556188,China Creek BLM #1,2.5,ARNO4,NA,POSE,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
17,ubrbe3346,2016,BRBE,NA,94,8/1/2016,42.00262033,-114.7624562,China Creek BLM #1,13,ARTRW8,NA,POSE,NA,20,0,Currently Employed,NA,All Sites,NA,NA,NA
14,U_BRBE3211,2018,BRBE,NA,111,7/25/2018,42.07987472,-114.7845437,Browns Creek East,2.5,ARNO4,NA,STIPA,NA,10,0,2018,Research Technician,BRBE,4/9/2018,8/25/2018,Average
795,1490,2015,SHCR,NA,94,7/29/2015,42.088637,-115.715135,Slaughterhouse,30,ARTRW, ,ELEL5, ,30,0,Currently Employed,NA,All Sites,NA,NA,NA
743,ujisa0787,2016,JISA,NA,94,7/22/2016,42.1926611,-113.4248995,Sheep Mountain North,13,ARAR8,NA,AGCR,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
7,U_PAVA175,2017,PAVA,NA,72,8/15/2017,44.30294383,-113.7215196,West River Flat North,30,ARTRW8,NA,PSSP6,NA,0,0,2017,Range Technician,SHCR,4/24/2017,8/25/2017,Average
843,ushcr2294,2016,SHCR,0.57532589,94,7/19/2016,42.08679153,-115.8463336,East Blackleg,13,ARTRW8,NA,FEID,NA,40,1,Currently Employed,NA,All Sites,NA,NA,NA
5,U_PAVA2507,2017,PAVA,0.793160087,69,8/9/2017,44.35977021,-113.5782859,Goldburg NE - Big Gulch,2.5,ARTRW8,NA,POSE,NA,0,1,2017,Range Technician,PAVA,5/8/2017,8/11/2017,Excellent
785,2143,2015,SHCR,NA,94,7/28/2015,42.123672,-115.782482,Tokum-Bambi West,13,CHRYS9, ,PSSP6, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
795,ushcr2474,2016,SHCR,1.909181675,94,7/29/2016,42.10780605,-115.7210893,Slaughterhouse,13,ARTRW8,NA,FEID,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
15,U_BRBE832,2017,BRBE,NA,68,7/26/2017,42.11628937,-114.7545957,Corral Creek East,13,ARNO4,NA,POSE,NA,0,0,2017,Range Technician,BRBE,4/24/2017,5/11/2018,Average
777,ubibu0297,2016,BIBU,NA,94,7/25/2016,43.3547802,-113.046638,Sunset,2.5,ARTR4,NA,POSE,NA,0,0,Currently Employed,NA,All Sites,NA,NA,NA
825,ujisa2167,2016,JISA,NA,94,7/20/2016,42.16984965,-113.4488737,Kane Springs (Line Canyon),30,ARAR8,NA,PSSP6,NA,10,0,Currently Employed,NA,All Sites,NA,NA,NA
12,U_BIBU0788,2018,BIBU,NA,471057387,7/19/2018,43.35597261,-113.0815797,Butte South,13,ARTRW8,NA,POSE,NA,10,0,2018,Research Technician,BIBU,4/9/2018,NA,Poor
843,734,2015,SHCR,NA,94,7/27/2015,42.058175,-115.829115,East Blackleg,13,ARAR8, ,POSE, ,10,0,Currently Employed,NA,All Sites,NA,NA,NA
29,U_JISA3824,2018,JISA,0,471057386,7/23/2018,42.14597087,-113.3994023,Sheep Mountain South,2.5,ARNO4,NA,POSE,NA,20,1,2018,Research Technician,SHCR,5/14/2018,NA,Average
3,U_PAVA4387,2018,PAVA,NA,112,8/7/2018,44.3168471,-113.5721491,Goldburg SE - Summit,2.5,ARTRW8,NA,FEID,NA,0,0,2018,Research Technician,PAVA,4/9/2018,8/10/2018,Excellent
843,687,2015,SHCR,NA,94,7/27/2015,42.056047,-115.841223,East Blackleg,13,ARAR8, ,POSE, ,0,0,Currently Employed,NA,All Sites,NA,NA,NA
21,U_BIBU1669,2017,BIBU,NA,3,7/28/2017,43.3342789,-113.0611131,Sunset North,2.5,ARTR4,NA,POSE,NA,10,0,2017,Crew Leader,BIBU,2/6/2017,8/25/2017,Excellent
786,U_PAVA1512,2018,PAVA,NA,1,8/8/2018,44.34074247,-113.7174464,River,2.5,ARTRW8,NA,POSE,NA,0,0,Currently Employed,Project Leader,All Sites,10/18/2016,NA,Excellent
788,U_PAVA1306,2018,PAVA,NA,471057388,8/10/2018,44.3082657,-113.691264,West River Flat,13,ARTRW8,NA,POSE,NA,0,0,2018,Point Count Technician,PAVA,5/3/2018,8/10/2018,Excellent
14,U_BRBE519,2017,BRBE,3.350930265,68,7/24/2017,42.08692575,-114.7784766,Browns Creek East,13,ARNO4,NA,POSE,NA,20,1,2017,Range Technician,BRBE,4/24/2017,5/11/2018,Average
2,U_PAVA3929,2017,PAVA,12.60073503,2,7/19/2017,44.35146391,-113.6685358,River East,2.5,ARAR8,NA,POSE,NA,0,1,2017,Crew Leader,PAVA,2/6/2017,8/4/2017,Average
775,ubibu1839,2016,BIBU,6.616118692,94,7/29/2016,43.37515098,-113.0900689,Butte,30,ARTRW8,NA,PSSP6,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
776,ubibu0058,2016,BIBU,0,94,8/2/2016,43.33892602,-113.1076197,Serviceberry,2.5,ARTR4,NA,PSSP6,NA,0,1,Currently Employed,NA,All Sites,NA,NA,NA
776,2781,2015,BIBU,NA,94,7/20/2015,43.311666,-113.175968,Serviceberry,2.5,ARTRW, ,PSSP6, ,40,0,Currently Employed,NA,All Sites,NA,NA,NA
