"","PointID","AvgMaxHt","SdMaxHt","AvgMaxLeaf","SdMaxLeaf","AvgEff_Ht","SdEff_Ht","AvgRemoved","SdRemoved","n","TheorID","Year","Date","PastureName","PastureID_YearOfSurvey","ObsID1","ObsID2","StartTime","EndTime","New_YearOfSurveyID","New_CurrentYearID","Site","Treatment","ALLOT_NAME","PAST_NAME","Area_ha","StudyPasture_Yes_No","YearStudyStart","YearStudyEnd","ADMIN_ORG_","Shape_Length","Shape_Area","PreTrt_Pasture_Yes_No","Grazed2018","CombinedPasture","Pst_2015Earlier","Pst_2016","DomShrub","Pst_2018","Pst_2019","Comment","Position","HomeState","Original_Site_Assignment","Start_Date","End_Date","Performance_Rating","minsatplot","daysemployeed","AvgShrubHt","PctShrubCover","Species"
"1","BIBU075_15",33.0487804878049,12.674366508653,11.890243902439,5.96699998564321,2.25609756097561,1.41256246980623,5.48780487804878,13.5767083616305,82,"BIBU075",2015,2015-07-29,"Serviceberry",776,60,60,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,19.5,"ARTR4"
"2","BIBU075_16",39.0476190476191,17.2353690436264,18.2142857142857,10.3970239353656,5.92857142857143,4.58595476069331,6.78571428571429,16.9450361844074,84,"BIBU075",2016,2016-07-27,"Serviceberry",776,83,94,1899-12-30 12:51:00,1899-12-30 14:07:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Volunteer","WI","JISA",2016-05-25,2016-08-05,"Excellent",76,72,NA,13.5333333333333,"ARTRW8"
"3","BIBU075_17",47.5735294117647,19.1835720892539,28.0441176470588,15.4441060810482,1.55882352941176,0.798923771253506,5.73529411764706,15.4113910643741,68,"BIBU075",2017,2017-07-28,"Serviceberry",13,74,94,1899-12-30 12:22:00,1899-12-30 13:05:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",43,100,32.9166666666667,18.5333333333333,"ARTR4"
"4","BIBU075_18",48.2631578947368,12.9082592898786,32,16.5336021483523,2.80263157894737,1.54936319686169,0.394736842105263,1.78197603701375,76,"BIBU075",2018,2018-07-25,"Serviceberry",NA,97,94,1899-12-30 11:54:00,1899-12-30 12:49:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader","MS","BIBU",2018-02-20,2018-08-25,"Excellent",55,185.958333333333,40.75,12.8333333333333,"ARTRW8"
"5","BIBU076_15",33.5454545454545,14.4936877862721,11.1558441558442,5.29166408774199,2.57142857142857,1.72007168936104,0.844155844155844,3.47950743286935,77,"BIBU076",2015,2015-07-30,"Serviceberry",776,60,60,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician",NA,"BIBU",NA,NA,NA,NA,NA,NA,32.8833333333333,"ARTR4"
"6","BIBU076_16",31.2597402597403,15.2913826759444,19.5584415584416,9.50829763181045,4.2987012987013,2.93824569511583,1.03896103896104,9.11684611677105,77,"BIBU076",2016,2016-08-03,"Serviceberry",776,41,94,1899-12-30 11:50:00,1899-12-30 12:40:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician",NA,"All Sites",NA,NA,NA,50,NA,NA,18.3333333333333,"ARTR4"
"7","BIBU076_17",47.5,19.4099694379009,27.8170731707317,13.9018855180707,1.48780487804878,0.932855730169056,2.01219512195122,8.38354340718903,82,"BIBU076",2017,2017-07-28,"Serviceberry",13,74,94,1899-12-30 10:54:00,1899-12-30 11:34:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",40,100,35.030303030303,25.4666666666667,"ARTR4"
"8","BIBU076_18",36.5402298850575,13.430964395668,19.6436781609195,11.4394025412111,1.8735632183908,1.42897424343437,0,0,87,"BIBU076",2018,2018-07-24,"Serviceberry",NA,101,94,1899-12-30 13:30:00,1899-12-30 14:35:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Wildlife Technician","CT","BIBU",2018-02-26,2018-08-15,"Excellent",65,169.958333333333,35.5555555555556,18.6666666666667,"ARTR4"
"9","BIBU077_15",37.5487804878049,16.379113799739,15,8.00771233187878,2.70731707317073,1.63667688673017,0.24390243902439,1.33851747370043,82,"BIBU077",2015,2015-07-22,"Serviceberry",776,61,61,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Project Field Coordinator","WI","All Sites",NA,2016-08-29,"Excellent",NA,NA,NA,7.6,"ARTRW8"
"10","BIBU077_16",35.7710843373494,17.4232290286698,17.6987951807229,9.975255898373,4.12048192771084,3.26622624924465,1.02409638554217,6.56854274148339,83,"BIBU077",2016,2016-07-29,"Serviceberry",776,37,94,1899-12-30 10:53:00,1899-12-30 11:36:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader",NA,"BIBU",NA,NA,NA,43,NA,NA,12.2166666666667,"ARTR4"
"11","BIBU077_17",46.4927536231884,19.8750680268209,30.1594202898551,17.9849799983583,1.78260869565217,1.21109533817886,6.40579710144928,16.2565089593818,69,"BIBU077",2017,2017-08-04,"Serviceberry",13,74,3,1899-12-30 11:43:00,1899-12-30 12:13:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Range Technician","NE","BIBU",2017-05-01,2017-08-09,"Excellent",30,100,36.25,12.4,"ARTR4"
"12","BIBU077_18",45.2325581395349,14.9215000181181,22.7558139534884,13.7959380607751,4.91860465116279,4.89949605158607,0.372093023255814,1.08515666126148,86,"BIBU077",2018,2018-07-30,"Serviceberry",NA,471057387,94,1899-12-30 08:54:00,1899-12-30 10:30:00,13,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Research Technician","AL","BIBU",2018-04-09,NA,"Poor",96,NA,33.6538461538462,27.3333333333333,"ARTR4"
"13","BIBU078_15",45.4264705882353,18.0656482601324,16.6029411764706,12.5295349056424,3.07352941176471,1.83917710728409,0.441176470588235,2.69539326702352,68,"BIBU078",2015,2015-07-21,"Serviceberry",776,61,61,NA,NA,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Project Field Coordinator","WI","All Sites",NA,2016-08-29,"Excellent",NA,NA,NA,17.1833333333333,"ARTR4"
"14","BIBU078_16",42.7972972972973,20.2416766115702,24.472972972973,13.6785232850456,4.94594594594595,2.96967269951482,0.405405405405405,3.48742916231457,74,"BIBU078",2016,2016-07-29,"Serviceberry",776,37,94,1899-12-30 09:40:00,1899-12-30 10:23:00,776,13,"BIBU","Spring Odd Years","Big Butte","Serviceberry",1934.5279541,"Yes",2017,NA,"Idaho Falls District Office - Upper Snake Field Office",19142.6671566359,19345279.0559389,"No","No","No",0,0,1,1,1,"Study originally began 2017, re-start in 2018","Crew Leader",NA,"BIBU",NA,NA,NA,43,NA,NA,17.9833333333333,"ARTR4"
